noise_std,obs_freq_hz,fd_q,fd_v,sm_q,sm_v,gr_q,gr_v,ek_q,ek_v
0.010000,20.000000,0.009512,0.139218,0.009499,0.181099,0.011810,0.118109,0.007477,0.115722
0.010000,10.000000,0.008803,0.072251,0.008787,0.163815,0.018082,0.093939,0.008809,0.180949
0.010000,5.000000,0.007744,0.093236,0.007779,0.207218,0.032720,0.176196,0.018176,0.349703
0.010000,2.000000,0.008164,0.429279,0.008058,0.478419,0.049801,0.498745,0.069979,0.788511
0.030000,20.000000,0.028535,0.415754,0.028491,0.358787,0.024964,0.336728,0.016577,0.141515
0.030000,10.000000,0.026408,0.201035,0.026365,0.219639,0.026882,0.178421,0.021130,0.191251
0.030000,5.000000,0.023233,0.132996,0.023243,0.226683,0.039729,0.201278,0.037161,0.358883
0.030000,2.000000,0.024491,0.430168,0.024349,0.477831,0.050132,0.497833,0.106426,0.797147
0.050000,20.000000,0.047558,0.692426,0.047484,0.566158,0.039721,0.558441,0.023371,0.152543
0.050000,10.000000,0.044013,0.332358,0.043942,0.302468,0.039061,0.279179,0.027894,0.195919
0.050000,5.000000,0.038721,0.183925,0.038708,0.253607,0.049107,0.234440,0.044695,0.368022
0.050000,2.000000,0.040818,0.432623,0.040645,0.478134,0.053680,0.497904,0.119256,0.821738
0.100000,20.000000,0.095117,1.384166,0.094966,1.104314,0.077615,1.114141,0.035677,0.168607
0.100000,10.000000,0.088025,0.661858,0.087886,0.543275,0.072911,0.542454,0.037807,0.204232
0.100000,5.000000,0.077442,0.324716,0.077372,0.340982,0.076924,0.335973,0.057326,0.386073
0.100000,2.000000,0.081636,0.445408,0.081388,0.482762,0.072588,0.502368,0.140042,0.861954
0.200000,20.000000,0.190234,2.767684,0.189931,2.194340,0.154095,2.212097,0.050642,0.176931
0.200000,10.000000,0.176050,1.321635,0.175775,1.054493,0.143303,1.077011,0.048983,0.217444
0.200000,5.000000,0.154883,0.618582,0.154701,0.551613,0.137939,0.567546,0.074391,0.408991
0.200000,2.000000,0.163272,0.496232,0.162877,0.507858,0.127789,0.528848,0.156671,0.886679